id,instasi,index_2023,domain1,domain2,domain3,domain4
i2023110600463,Pemerintah kab. Bantaeng,3.04,3.3,2.6,1.73,3.68
i2023110600464,Pemerintah kab. Jeneponto,2.09,4,1.9,1.45,4.07
i2023110600279,Pemerintah kab. Kepulauan Selayar,1.93,2.8,1.4,1,2.3
i2023110600571,Pemerintah kab. Takalar,2.27,1.7,1.3,1,3.42
i2023110600280,Pemerintah kab. Barru,2.39,1.4,1.6,1,3.62
i2023110600281,Pemerintah kab. Sidenreng Rappang,2.87,5,1.5,1,3.69
i2023110600465,Pemerintah kab. Pangkajene dan Kepulauan,2.31,2.8,1.1,1,3.31
i2023110600466,Pemerintah kab. Soppeng,2.67,3,2.2,1,3.43
i2023110600282,Pemerintah kab. Enrekang,2.66,3.6,2.2,1.36,3.11
i2023110600070,Pemerintah kab. Luwu Utara,3.18,3.2,2.5,2.27,3.87
i2023110600572,Pemerintah kab. Luwu Timur,3.05,3.1,2.7,1.36,3.83
i2023110600573,Pemerintah kab. Toraja utara,2.3,2.4,1.5,1.82,2.88
i2023110600283,Pemerintah Kota Makassar,3.41,3.3,2.5,2.36,4.32
i2023110600467,Pemerintah Kota parepare,2.62,2.9,1.5,1,3.75
i2023110600468,Pemerintah Kota Palopo,3.31,3.4,2.5,1.55,4.36
i2023110600469,Pemerintah Provinsi Sulawesi Tenggara,2.59,3,2.3,1.55,3.01
i2023110600574,Pemerintah kab. Konawe,1.84,2.8,1.2,1,2.23
i2023110600575,Pemerintah kab. Buton,2.02,1.6,1.2,1.18,2.89
i2023110600576,Pemerintah kab. Muna,2.24,3,1.4,1,2.93
i2023110600284,Pemerintah kab. Kolaka,3.48,4.2,3.2,2.91,3.63
i2023110600285,Pemerintah kab. Kolaka Utara,2.04,1.1,1.5,1,2.98
i2023110600577,Pemerintah kab. Bombana,2.13,2.5,1,1,3.05
i2023110600471,Pemerintah kab. Buton Utara,2.05,1,1.2,1,3.19
i2023110600579,Pemerintah kab. Konawe Utara,2.1,2.1,1.7,1.27,2.62
i2023110600580,Pemerintah kab. Kolaka Timur,2.33,2.5,1.2,1,3.39
i2023110600581,Pemerintah kab. Konawe Kepulauan,1.96,1,1,1,3.12
i2023110600472,Pemerintah kab. Buton Selatan,1.32,1.5,1,1,1.57
i2023110600286,Pemerintah kab. Buton Tengah,2.61,3.7,1.6,1.18,3.36
i2023110600582,Pemerintah kab. Muna Barat,1.81,2,1,1,2.48
i2023110600287,Pemerintah Kota Kendari,2.42,2.7,1.6,1,3.31
i2023110600473,Pemerintah Kota Baubau,1.95,1.2,1.2,1,2.93
i2023110600505,Pemerintah Provinsi Sulawesi Barat,2.89,2.9,2.6,1.09,3.69
i2023110600617,Pemerintah kab. Pasangkayu,1.75,1.1,1.1,1,2.56
i2023110600506,Pemerintah kab. Mamuju,2.15,1.2,1.4,1,3.24
